poverty,deep_poverty,age_group,st,price,base_poverty,base_deep_poverty,poverty_chg,deep_poverty_chg,state_abbr,state_name
0.1532896866553634,0.056552788721101185,All,0.0,0,0.1532896866553634,0.056552788721101185,0.0,0.0,US,US
0.1520674254768843,0.05596729467098777,All,0.0,5,0.1532896866553634,0.056552788721101185,-0.007973538240880429,-0.01035305355145022,US,US
0.15082229826057336,0.05541837499882081,All,0.0,10,0.1532896866553634,0.056552788721101185,-0.0160962452766793,-0.020059377228502595,US,US
0.14945778249640532,0.054827625144781414,All,0.0,15,0.1532896866553634,0.056552788721101185,-0.02499779497607857,-0.03050536702668516,US,US
0.1481716900963636,0.05425052721793437,All,0.0,20,0.1532896866553634,0.056552788721101185,-0.03338774232415542,-0.040709955339616744,US,US
0.14700114389736132,0.05374214649852983,All,0.0,25,0.1532896866553634,0.056552788721101185,-0.04102391292729579,-0.04969944517559455,US,US
0.14583119316809423,0.053173808244892755,All,0.0,30,0.1532896866553634,0.056552788721101185,-0.04865619892640194,-0.05974913974397256,US,US
0.1445678132373737,0.05256014534225297,All,0.0,35,0.1532896866553634,0.056552788721101185,-0.05689797929849538,-0.07060029167683579,US,US
0.14337927131616332,0.052045781719035254,All,0.0,40,0.1532896866553634,0.056552788721101185,-0.06465154672461026,-0.07969557477161615,US,US
0.14216549401438525,0.05157076297505831,All,0.0,45,0.1532896866553634,0.056552788721101185,-0.0725697395806435,-0.08809513834255822,US,US
0.14096895086036446,0.051137903488333795,All,0.0,50,0.1532896866553634,0.056552788721101185,-0.08037550381780934,-0.09574921688604487,US,US
0.13979136244823057,0.050628200199306854,All,0.0,55,0.1532896866553634,0.056552788721101185,-0.08805761497497688,-0.10476209318363339,US,US
0.13868530562155085,0.050166096880481355,All,0.0,60,0.1532896866553634,0.056552788721101185,-0.09527308296119852,-0.11293327853586121,US,US
0.13752324643330083,0.04969423099204976,All,0.0,65,0.1532896866553634,0.056552788721101185,-0.10285388773420745,-0.12127709144239485,US,US
0.1363796938176107,0.04924448837130659,All,0.0,70,0.1532896866553634,0.056552788721101185,-0.11031396310288599,-0.12922970758942776,US,US
0.13521740897767154,0.048823528877132434,All,0.0,75,0.1532896866553634,0.056552788721101185,-0.1178962399363711,-0.13667336339657432,US,US
0.13416666502128977,0.04841393972084943,All,0.0,80,0.1532896866553634,0.056552788721101185,-0.12475086909837163,-0.14391596213565605,US,US
0.13304351194510722,0.04798191389175419,All,0.0,85,0.1532896866553634,0.056552788721101185,-0.13207786611094752,-0.1515552994497864,US,US
0.1320060657681279,0.0476081594773255,All,0.0,90,0.1532896866553634,0.056552788721101185,-0.13884574593127608,-0.1581642469991622,US,US
0.13090938288870077,0.04727514459493845,All,0.0,95,0.1532896866553634,0.056552788721101185,-0.14600006207188354,-0.1640528139455133,US,US
0.12987717684539127,0.046849283444628194,All,0.0,100,0.1532896866553634,0.056552788721101185,-0.1527337573767098,-0.17158314374782346,US,US
0.1288951751688619,0.04651777290683534,All,0.0,105,0.1532896866553634,0.056552788721101185,-0.1591399396708727,-0.17744510997954632,US,US
0.12789212207016745,0.046098179859000915,All,0.0,110,0.1532896866553634,0.056552788721101185,-0.16568345294029163,-0.1848646034709055,US,US
0.1268042302044627,0.04578003604973777,All,0.0,115,0.1532896866553634,0.056552788721101185,-0.17278042005818162,-0.1904902112695257,US,US
0.12574846236394652,0.04546743324306326,All,0.0,120,0.1532896866553634,0.056552788721101185,-0.17966782301106143,-0.19601783976926535,US,US
0.12475664797299124,0.045154783425620175,All,0.0,125,0.1532896866553634,0.056552788721101185,-0.18613801949065334,-0.20154629954133707,US,US
0.12377572441008772,0.0448320827058571,All,0.0,130,0.1532896866553634,0.056552788721101185,-0.19253716860698555,-0.20725248533801865,US,US
0.12286490330527386,0.0445279543737299,All,0.0,135,0.1532896866553634,0.056552788721101185,-0.19847899760205445,-0.21263026314535272,US,US
0.12198429132034225,0.04419490501677924,All,0.0,140,0.1532896866553634,0.056552788721101185,-0.20422375450087615,-0.21851943969141396,US,US
0.12103342644286157,0.04387290005639098,All,0.0,145,0.1532896866553634,0.056552788721101185,-0.21042681289461196,-0.22421332265757987,US,US
0.1200634031101635,0.04358889546726244,All,0.0,150,0.1532896866553634,0.056552788721101185,-0.21675485331183153,-0.22923526048860632,US,US
0.11930579010011508,0.043318937695782225,All,0.0,155,0.1532896866553634,0.056552788721101185,-0.22169721457943414,-0.23400881414679198,US,US
0.11842338230382414,0.043079486779051865,All,0.0,160,0.1532896866553634,0.056552788721101185,-0.22745368662621201,-0.23824292747957998,US,US
0.1175671783099334,0.04285392597740794,All,0.0,165,0.1532896866553634,0.056552788721101185,-0.2330392156501947,-0.24223142754730098,US,US
0.1166159561506116,0.04262651295148241,All,0.0,170,0.1532896866553634,0.056552788721101185,-0.23924460480635112,-0.24625267974490794,US,US
0.11582868247964755,0.042330711793494354,All,0.0,175,0.1532896866553634,0.056552788721101185,-0.2443804602454327,-0.251483211513144,US,US
0.11496929115564786,0.042117276636089926,All,0.0,180,0.1532896866553634,0.056552788721101185,-0.24998678212364112,-0.2552572987373305,US,US
0.11415101544983837,0.04192965352468095,All,0.0,185,0.1532896866553634,0.056552788721101185,-0.2553248823159209,-0.25857496203302166,US,US
0.113322334693919,0.04173399470589797,All,0.0,190,0.1532896866553634,0.056552788721101185,-0.2607308608523795,-0.2620347174793517,US,US
0.11263492443159985,0.041576684138062106,All,0.0,195,0.1532896866553634,0.056552788721101185,-0.26521524774961824,-0.26481637637528455,US,US
